soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments
Ed Sheeran,"Ed Sheeran - You Need Me, I Don't Need You",rap,24700.0,2020-08-12 21:01:19.443000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Eden Prince,Lift Your Energy,ultimate,19400.0,2020-08-13 03:37:33.249000+00:00,edenprincemusic,59,"8,635",289,3.01%,229.55,30.10
Ego Ella May,Girls Don't Always Sing About Boys - A COLORS ENCORE,ultimate,469,2020-08-13 01:03:14.647000+00:00,egoellamay,114,"14,092",717,11.08%,"1,446.90",114.25
Eight Two,Validation Song,ultimate,7772,2020-08-14 03:01:27.649000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ela Minus,megapunk,indie,2282,2020-08-11 00:27:57.247000+00:00,elaminus,72,"15,813",197,5.77%,878.20,34.15
Elastica,Connection,indie,3382,2020-08-11 14:23:42.242000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Elderbrook,My House,indie,11600.0,2020-08-11 01:33:51.554000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Electronic,Getting Away with It,indie,0,2020-08-11 14:23:54.960000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Eliphino,More Than Me,ultimate,1490000.0,2020-08-13 03:39:38.437000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ella Mai,Close,indie,2480000.0,2020-08-11 00:44:36.936000+00:00,ellamai,n/a,n/a,n/a,n/a,n/a,n/a
Ellen Allien,In Music I Trust SNIPPET,indie,2269,2020-08-11 00:44:08.914000+00:00,ellen.allien,"1,679","434,992","1,286",2.03%,"8,678.50",142.55
Elliott Smith,Between The Bars,indie,0,2020-08-11 14:24:37.820000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
ElvisWong95,Billie Eilish - My Future Cover,ultimate,550,2020-08-14 03:45:16.828000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Embrace,All You Good Good People,indie,0,2020-08-11 14:24:49.963000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Empire Of The Sun,Walking On A Dream,indie,1120000.0,2020-08-11 13:56:33.578000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
En Couleur,Loco Dice - Sweet Nectar Blossom,indie,769,2020-08-11 00:46:26.349000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
EnormousTunes,Nora En Pure - Fibonacci,ultimate,23700.0,2020-08-13 16:45:29.849000+00:00,enormoustunesrecords,875,"7,830",39,0.73%,55.50,1.80
Eric Alex Abs,One Night Only,ultimate,13,2020-08-14 03:47:59.618000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
EstelleOfficial,American Boy (feat. Kanye West),rap,0,2020-08-12 21:00:24.142000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ethan Hollan,Love Bite (demo),ultimate,238,2020-08-14 21:29:19.338000+00:00,ethan_hollan,n/a,n/a,n/a,n/a,n/a,n/a
Ethanboi28,GTA 4 theme song trap remix,ultimate,43,2020-08-16 19:03:23.465000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Etta Bond,On A Beach (feat. Avelino),ultimate,2737,2020-08-13 01:08:29.045000+00:00,ettabond,n/a,n/a,n/a,n/a,n/a,n/a
Evans Junior,Know Better,rap,0,2020-08-12 20:15:19.911000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Everything But The Girl,Missing (2013 Remaster),indie,3953,2020-08-11 14:25:02.957000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Everything Everything,Arch Enemy,indie,2481,2020-08-11 15:26:35.790000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Everything Is Recorded,Everything Is Recorded feat. A.K. Paul - 05:10 AM / DREAM I NEVER HAD,indie,194,2020-08-11 20:14:43.322000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Exclusive Plug,#NPK Stewie x ND - Extinction #Exclusive,ultimate,18200.0,2020-08-14 02:54:31.108000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
FERRENTINO ✪,"Urban, Dutch urban, Moombahton Mixtape 2020 / 2 / Zomer Editie",ultimate,3678,2020-08-16 19:12:13.656000+00:00,djferrentino,46,274,197,2.80%,18.65,1.45
FOALS,My Number,indie,581000.0,2020-08-11 13:54:45.703000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
FOUR THIRTY TWO,Richy Ahmed - Bad Boy (432R015) [clip],indie,5894,2020-08-11 00:28:23.369000+00:00,fourthirty2,54,"2,180",139,6.12%,129.35,4.15
FUR,Waiting on You (Coming Back Home),indie,708,2020-08-11 01:30:04.379000+00:00,furbabyfur,230,"52,053",145,10.32%,"5,323.90",50.30
Fakear,Sekoia,indie,4575,2020-08-11 00:29:49.270000+00:00,fakearmusic,"1,128","51,288",565,2.11%,"1,060.80",19.05
Fangclub,Hesitations,ultimate,178,2020-08-13 03:25:17.116000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Far Caspian,Today,indie,955,2020-08-11 18:43:09.143000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Father John Misty,Anthem,indie,164,2020-08-11 01:33:56.687000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Fearless Records,The Summer Set - Figure Me Out,indie,100000.0,2020-08-11 02:52:33.858000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Fenne Lily.,To Be A Woman Pt. 2,indie,58,2020-08-11 02:53:14.365000+00:00,fennelily,n/a,n/a,n/a,n/a,n/a,n/a
Ferreck Dawn,By My Side | Out now!,ultimate,45600.0,2020-08-13 03:33:43.518000+00:00,ferreckdawn,"1,793","45,518",413,2.89%,"1,267.50",49.70
Fickle Friends,Glue,indie,60800.0,2020-08-11 13:49:44.798000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
First_Cut,Richard Be - A Saucer Full Of Sorrow,ultimate,51,2020-08-14 03:02:56.643000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Fivio Foreign,Wetty,rap,6710000.0,2020-08-12 19:39:21.694000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Fizzler,Relationships Freestyle,rap,815,2020-08-12 19:43:48.357000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Flaming Lips,Race for the Prize,indie,2254,2020-08-11 14:25:14.836000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Fletch,Love Love Love - Bella (Live),ultimate,637,2020-08-14 02:56:07.906000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Flipp Dinero,Jump Off,rap,425000.0,2020-08-12 20:45:55.984000+00:00,flippdinero,68,"625,438",822,1.99%,"12,201.30",232.30
Flo Milli,Send The Addy,rap,27900.0,2020-08-11 23:27:01.928000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Florence + The Machine,Dog Days Are Over,indie,376000.0,2020-08-11 13:58:24.704000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Flume,Never Be Like You,indie,640000.0,2020-08-11 02:59:25.879000+00:00,flume,"1,425","1,193,220","1,923",5.29%,"61,903.50","1,178.45"
Fly Boy *,My Friend - Solace,ultimate,21900.0,2020-08-13 23:46:40.901000+00:00,weareflyboy,249,422,593,2.35%,24.55,1.75
Flyte,Easy Tiger,indie,1589,2020-08-11 18:49:34.042000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Fontaines D.C.,Boys in the Better Land (Radio Edit),indie,267,2020-08-11 02:55:44.336000+00:00,fontainesband,553,"90,832",324,6.18%,"5,544.20",65.15
Fool's Gold Records,Lxury - Do This Forever,indie,9135,2020-08-11 00:44:50.786000+00:00,foolsgoldrecs,723,"74,393",152,0.44%,317.95,8.75
Format:B,Chunky,ultimate,29900.0,2020-08-13 16:39:23.488000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Foster The People,Pumped Up Kicks,indie,17200000.0,2020-08-11 02:58:20.378000+00:00,fosterthepeople,"1,116","556,960",25,3.36%,"18,489.60",223.30
Fourth Person Plural,No Alarm Clock Set,ultimate,270,2020-08-14 02:57:38.277000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
FranciscoTorresOfficial,Daviles De Novelda - Dime (Fran Torres Edit)(Vers.Copy),ultimate,6743,2020-08-14 03:13:16.023000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Frank Carter,Fire,ultimate,1195,2020-08-13 03:20:56.857000+00:00,andtherattlesnakes,"1,382","75,067",22,5.22%,"3,880.35",36.85
Franky Wah,Come Together (Original Mix),ultimate,79300.0,2020-08-13 03:36:19.207000+00:00,frankywahmusic,184,"22,910","1,348",4.99%,"1,042.55",101.05
Franz Ferdinand,Take Me Out,indie,0,2020-08-11 00:24:32.019000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Fredo,Scorpion,rap,223000.0,2020-08-12 20:32:07.651000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Freegrant Music,Dabeat - Trilobit [Prog House],ultimate,760,2020-08-13 16:45:55.690000+00:00,freegrantmusic,147,930,94,3.66%,0.00,0.00
French Montana,That's A Fact,rap,27500.0,2020-08-12 19:39:03.115000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Friendly Fires,Silhouettes,indie,4463,2020-08-11 14:25:40.236000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Frosty,"Hate On Us (feat. Bandokay, Double Lz & OFB)",rap,541000.0,2020-08-12 19:39:15.233000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Full Crate,Brandy ft. Kyle Dion,ultimate,10300.0,2020-08-13 01:07:09.461000+00:00,fullcrate,480,"41,440","2,421",3.35%,"1,313.15",75.65
Funkinova,Edwyn Collins - A Girl Like You,indie,16000.0,2020-08-11 14:23:11.946000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Fur Echo,Screaming Underwater,ultimate,176,2020-08-14 03:02:18.892000+00:00,furecho,n/a,n/a,n/a,n/a,n/a,n/a
Fuse ODG,Antenna (UK Radio Edit),rap,6771,2020-08-12 20:58:42.422000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Future,"Life Is Good (Remix) [feat. DaBaby, Drake & Lil Baby]",rap,2690000.0,2020-08-12 20:49:38.880000+00:00,future,3,"15,790,678",0,2.98%,"464,809.00","5,816.67"
Future Generation,ThatBehavior & LUNIS - No Time To Die,ultimate,11600.0,2020-08-16 18:59:37.562000+00:00,futuregenerationofficial,n/a,n/a,n/a,n/a,n/a,n/a
Future Islands,Seasons (Waiting On You),indie,1510000.0,2020-08-11 00:25:51.798000+00:00,future_islands,11,189,"1,772",1.96%,16.27,0.45
Future Times,"Kush Jones - Earth Note - 12"" EP - FT055",indie,4971,2020-08-11 00:28:51.909000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
G Herbo,Kill Shit (feat. Lil Bibby) [Bonus Track],rap,566000.0,2020-08-12 19:38:08.317000+00:00,nolimitherbo,893,"5,493,147","1,665",4.72%,"257,383.00","2,153.35"
G-EAZY,Still Be Friends (feat. Tory Lanez & Tyga),rap,309000.0,2020-08-12 20:50:06.400000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
G4 Boyz,Local Scammer (Remix) [feat. G4Choppa & Ivorian Doll],rap,14800.0,2020-08-12 19:42:24.061000+00:00,realg4boyzicebaby,"1,416","77,936",0,6.63%,"5,013.85",155.95
GAIKA,Of Saints (feat. TAYHANA),indie,909,2020-08-11 00:30:08.915000+00:00,gaikasees,99,"23,725","2,133",1.75%,400.70,14.40
GEACHE,AGUA (GEACHE Remix) - J Balvin ft. Tainy (FREE DOWNLOAD),ultimate,8502,2020-08-16 19:14:05.267000+00:00,gabrielhong14,23,345,50,4.81%,0.00,0.00
GIRLI,Deal With It,ultimate,17100.0,2020-08-13 14:56:13.590000+00:00,girlimusic,609,"66,736","1,352",7.43%,"4,888.65",69.70
GRLwood,I'm Yer Dad (Audiotree Live Version),ultimate,94500.0,2020-08-13 14:58:11.808000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
GRM Daily,Amiri & Lamborghini (feat. Hardy Caprio & Lotto Ash),rap,14800.0,2020-08-12 19:44:30.967000+00:00,grmdaily,"26,525","1,683,495",812,0.66%,"11,021.00",131.45
GUSSSTAVE,Just Like You,indie,3,2020-08-11 01:13:46.015000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
GUZ,Guz & Tough Love - Dancin' Kinda Close,ultimate,156000.0,2020-08-13 16:38:12.514000+00:00,guzgrooves,n/a,n/a,n/a,n/a,n/a,n/a
GYPTXVN,AQUATIC RETALIATION,ultimate,271,2020-08-16 18:59:31.711000+00:00,gyptxvn,n/a,n/a,n/a,n/a,n/a,n/a
Gabriel Chanin,See What You Wanna See,ultimate,193,2020-08-14 03:44:00.009000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ganar,Ganar - Nothing Left To Prove [Full Production Mix],ultimate,1377,2020-08-13 23:57:58.161000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Gareth Wyn,The Gossip 'Standing In The Way Of Control' (Gareth Wyn Remix),indie,23500.0,2020-08-11 14:04:07.516000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Gasper Narby,Eighteen,indie,15,2020-08-11 20:15:12.901000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Gemma Dunleavy,Cruisin,ultimate,149,2020-08-13 01:01:32.823000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Gengahr,Heavenly Maybe,indie,15600.0,2020-08-11 02:56:48.247000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
George FitzGerald,Nobody But You (feat. Hudson Scott),ultimate,9264,2020-08-13 16:54:15.489000+00:00,georgefitzmusic,107,"27,875",461,2.26%,612.40,18.95
Georgia,About Work The Dancefloor (Edit),indie,70600.0,2020-08-11 13:49:31.017000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Geovarn,Still Mean,rap,317,2020-08-12 19:33:13.923000+00:00,geovarn,25,"13,584",765,5.83%,758.40,33.10
GerardWay,Here Comes the End (feat. Judith Hill),ultimate,3831,2020-08-13 15:05:44.913000+00:00,gerardway,n/a,n/a,n/a,n/a,n/a,n/a
Gerry Cinnamon,Sometimes,indie,255000.0,2020-08-11 02:59:50.209000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ghetto Witchez,AFERRADXS - JAGS DJ SET,ultimate,361,2020-08-16 19:12:39.965000+00:00,ghettowitchez,170,"1,269",303,2.44%,0.00,0.00
Ghetts,Mozambique (feat. Jaykae & Moonchild Sanelly),rap,25000.0,2020-08-12 19:34:08.563000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ghostpoet,I Grow Tired But Dare Not Fall Asleep,indie,437,2020-08-11 01:32:40.274000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Girl Ray,Just Like That,indie,164,2020-08-11 18:49:13.646000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Giuseppe Visciano,Aiho - Purple Haze (Giuseppe Visciano Psychedelic Remix) // Little Genius Records,rap,6144,2020-08-12 19:40:20.622000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Giveon,LIKE I WANT YOU,ultimate,1060000.0,2020-08-13 01:12:38.745000+00:00,giveon,72,"234,829",123,25.28%,"58,211.50","1,143.90"
Gizmo Varillas,One Day at a Time,indie,22,2020-08-11 02:51:54.134000+00:00,gizmovarillas,"1,762","2,198",855,3.01%,61.80,4.25
Glass Animals,Life Itself,indie,1380000.0,2020-08-11 02:53:41.070000+00:00,glassanimals,80,"324,617",736,7.70%,"24,576.80",404.50
Glitterbox,Melvo Baptiste Featuring Phebe Edwards 'Bad Company' - Out 14/08,ultimate,2201,2020-08-16 18:24:11.266000+00:00,glitterboxibiza,"1,648","131,720",351,0.88%,"1,128.20",36.85
Gold Empire Ent.,I dont want no thot  (beat 4 sale),ultimate,263000.0,2020-08-13 15:08:08.713000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Gorgon City,All Four Walls (Maya Jane Coles Remix) [feat. Vaults],ultimate,23200.0,2020-08-13 03:43:26.883000+00:00,gorgoncity,"2,514","160,251","1,332",2.08%,"3,225.65",100.20
Gouranga,PREMIERE: Detroit Swindle Feat. Jitwam - Coffee In The Morning (Prins Thomas Diskomiks),indie,10000.0,2020-08-11 00:30:55.540000+00:00,gouranga_music,109,"16,139","4,911",0.18%,26.30,2.40
Grace Gillespie,Empty In The Capital,indie,1025,2020-08-11 18:39:48.123000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Gracie,Under / Over,indie,3754,2020-08-11 00:59:48.875000+00:00,gracieabrams,842,"337,428",910,9.77%,"32,487.80",480.40
GranPa,Daniel Johnston - Some things last a long time,indie,86200.0,2020-08-11 14:21:29.772000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Grey Daze,Morei Sky,ultimate,265,2020-08-13 03:18:07.901000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Grizzly Bear,Two Weeks,indie,120000.0,2020-08-11 13:51:39.157000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Groove City Radio,HAPPY MONDAZE RADIO SHOW - Carnabay Paton /// 27th July '20,ultimate,4,2020-08-14 03:03:34.749000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Groove Magazin,Richie Blacker – Summer Of Rave 89,ultimate,3149,2020-08-13 16:42:32.590000+00:00,groove_mag,835,"22,683",372,0.73%,163.55,2.15
Gudu Records,Peggy Gou - Han Pan,ultimate,253000.0,2020-08-13 16:50:40.745000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Gunna,Wunna,rap,2890000.0,2020-08-12 20:43:54.424000+00:00,gunna,126,"3,130,328",446,8.33%,"256,272.00","4,488.90"
Guti,Every Cow Has A Bird (original mix),ultimate,1962,2020-08-13 16:45:05.711000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Guvna B,Daily Duppy,rap,434,2020-08-12 19:42:54.313000+00:00,guvnab,435,"50,299",544,7.29%,"3,494.10",172.55
Guy Gerber,What To Do (&ME Remix),ultimate,774000.0,2020-08-13 16:49:02.047000+00:00,guygerber,"2,691","175,652","1,189",2.19%,"3,718.65",126.30
H O W L I N G,Need You Now (Adriatique Remix) [feat. Frank Wiedemann & RY X],indie,3696,2020-08-11 00:28:29.939000+00:00,howlingmusic,n/a,n/a,n/a,n/a,n/a,n/a
H Two O,What's It Gonna Be (feat. Platnum),rap,2645,2020-08-12 21:09:52.173000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
H.E.R.,Do To Me,rap,13400.0,2020-08-11 23:21:50.865000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
HAAi,Head Above The Parakeets,indie,1845,2020-08-11 00:26:33.187000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
HAIM,Falling,indie,0,2020-08-11 14:04:51.762000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
HEXAGON,Lulleaux - Sweet Little Lies,ultimate,11900.0,2020-08-14 00:04:41.286000+00:00,hexagonhq,"1,745","276,982",159,0.88%,"2,382.45",65.15
HIGH CONTRAST,Remind Me,ultimate,0,2020-08-13 03:39:54.282000+00:00,linkcontrast,n/a,n/a,n/a,n/a,n/a,n/a
HONNE,la la la that’s how it goes,indie,12300.0,2020-08-11 01:33:16.291000+00:00,hellohonne,n/a,n/a,n/a,n/a,n/a,n/a
Haier,"J Balvin, Dua Lipa, Bad Bunny, Tainy & Major Lazer - One Day (Haier Mashup)",ultimate,727,2020-08-16 19:11:57.164000+00:00,haiermusicproduction,11,663,106,--,0.00,0.00
Hailaker,Wild,indie,276,2020-08-11 18:48:25.267000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Hak Baker,PC Plod,ultimate,54,2020-08-13 15:03:21.505000+00:00,hakbaker,326,"21,381","1,501",9.10%,"1,855.95",90.45
Half Moon Run,Monster,indie,591,2020-08-11 02:51:07.438000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Hamilton Leithauser,Isabella,indie,825,2020-08-11 19:54:02.959000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Hannah Wants,Rhymes,ultimate,86300.0,2020-08-13 03:42:39.282000+00:00,hannah_wants,"3,428","135,008",360,0.91%,"1,178.75",44.00
Hard Fi,Hard to Beat,indie,26200.0,2020-08-11 13:54:21.618000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Hardstyle,Remzcore - Warrior,ultimate,3469,2020-08-14 00:04:17.604000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Hardy Caprio,XYZ,rap,291000.0,2020-08-12 20:31:38.498000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Hazel English,Never Going Home,indie,0,2020-08-11 18:37:21.804000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Headie One,Headie One x Drake - Only You Freestyle,rap,1070000.0,2020-08-11 23:44:36.752000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Headmaster Hastings,Accidents Will Happen (Cover By Headmaster Hastings),ultimate,2775,2020-08-14 03:44:27.726000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
HeadzUp,Not Myself,ultimate,490,2020-08-14 00:00:26.721000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
HeavyocityMedia,Infiltrator 2 - Dave Fraser (Damage 2 Only),ultimate,4757,2020-08-16 19:09:30.702000+00:00,heavyocity,452,"13,405",299,1.27%,161.45,9.20
Hector Plimmer,Wall Street featuring Andrew Ashong,indie,216,2020-08-11 00:46:34.276000+00:00,hector_plimmstagram,898,"3,268","1,473",4.21%,127.04,10.44
Heliotype (Stuart Millar),Majika,ultimate,112,2020-08-13 16:48:36.737000+00:00,stuart.millar,n/a,n/a,n/a,n/a,n/a,n/a
Henrique Zumba,Nina Kraviz - Dream Machine,ultimate,4923,2020-08-13 16:49:34.196000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
HighVibeLive,High Vibe Live: Summer Vibe Series ft. KRONIKA,ultimate,3226,2020-08-14 04:02:01.344000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Higher Power,Seamless,ultimate,80,2020-08-13 03:25:57.057000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
HollywoodUndead,Idol (feat. Tech N9ne),ultimate,8196,2020-08-13 03:21:47.276000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Homes,Lightning/Thunder ft. Notsogud,ultimate,76,2020-08-14 03:06:05.830000+00:00,homestheband,16,139,57,2.93%,16.43,0.79
Hot Chip,Over And Over,indie,6333,2020-08-11 13:50:46.353000+00:00,hot.chip,185,"49,242",55,2.75%,"1,316.85",35.65
Hot Creations,Skream & Tom Demac - EMF (Jamie Jones Rework),ultimate,12600.0,2020-08-13 16:42:56.429000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Hot Since 82,Hot Since 82 - Eye Of The Storm (feat. Liz Cass),indie,33700.0,2020-08-11 00:28:34.218000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Hottrax,RareTwo Inc - Cum 2Geza,ultimate,13000.0,2020-08-13 16:46:21.408000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
House of Youth,"Nuage, Omfeel - There's No End in the Beginning",ultimate,5804,2020-08-13 16:50:12.821000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Houseum,PREMIERE: Barry Can't Swim - Sunday At Glasto [Barry's Track],ultimate,3215,2020-08-13 16:41:31.400000+00:00,houseumrecords,23,"6,773",235,4.18%,269.50,13.80
Hypho,Hypho - About Me [Forthcoming Vinyl],ultimate,1253,2020-08-16 19:07:12.303000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
I.v Sixteen,No Sleep,rap,15100.0,2020-08-12 20:21:39.601000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
IDLES,Grounds,ultimate,4548,2020-08-13 03:17:36.695000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
IDPizzle,Billie Jin,rap,4562,2020-08-12 20:23:18.693000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
IDs Coming,Dimension & Sharlene Hector - Saviour (Coming Soon),ultimate,3012,2020-08-13 03:36:33.554000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
ILLENIUM,The Chainsmokers - Don't Let Me Down (Illenium Remix),ultimate,121000000.0,2020-08-13 16:42:25.945000+00:00,illeniummusic,655,"595,300",528,9.86%,"57,999.20",688.80
IMMORTALIZED DJ's,Jona D - Hot Plate World,ultimate,523,2020-08-13 23:59:23.936000+00:00,immortalized_djs,n/a,n/a,n/a,n/a,n/a,n/a
INSOMNIAC,Track of the Day: Gab Rhome “La Maison”,ultimate,8167,2020-08-13 16:53:33.765000+00:00,insomniacevents,"11,513","699,316",56,0.35%,"2,436.45",24.80
IYAMAH,Won't Work,ultimate,217,2020-08-13 01:04:22.671000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
IZCO,Gifted (feat. Dochi),indie,14,2020-08-11 00:28:38.990000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Icarus,Echoes,ultimate,21000.0,2020-08-13 23:45:37.134000+00:00,thisisicarus,244,"8,100",786,3.47%,264.60,16.10
Idris Elba,One Fine Day (feat. Tiggs Da Author),ultimate,66100.0,2020-08-13 03:37:03.777000+00:00,idriselba,36,"4,727,587",394,1.29%,"60,497.10",510.95
Ignxss Beats,J Balvin x Sech x Justin Quiles Type Beat Reggaeton - Miami,ultimate,22,2020-08-16 19:13:33.044000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ikonika,Your Body,indie,2274,2020-08-11 00:45:30.442000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Imanbek,I'm Just Feelin' (Du Du Du),ultimate,20200.0,2020-08-13 03:34:44.621000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Interesting Hobbies Club,Beach Plums,ultimate,20,2020-08-14 03:02:06.080000+00:00,interestinghobbiesclub,22,545,239,--,0.00,0.00
Iration,Summer Nights,indie,1820000.0,2020-08-11 00:58:24.434000+00:00,iration,"3,518","236,435",115,1.31%,"2,975.25",129.90
Iris Aeria,Reasons - freestyle,ultimate,84,2020-08-14 04:02:53.790000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Isaac,Other Way,ultimate,2655,2020-08-13 01:06:53.263000+00:00,w_dders,429,"82,001",627,2.66%,"2,164.35",20.65
Isaac Firth,Hurricane,ultimate,2909,2020-08-16 19:05:56.937000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Isaac Tichauer,Higher Level (Bicep Remix),ultimate,28700.0,2020-08-13 16:39:57.752000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Isaac_cadds,RM - Warning,ultimate,23900.0,2020-08-14 00:06:01.474000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Island Beats Music,Jordy Sánchez - Surf To Go (Original Mix) Snippet,ultimate,1395,2020-08-13 16:48:23.588000+00:00,islandbeatsmusic,872,"53,211",693,0.34%,169.85,10.45
Island Time Radio,Island Time Radio: Mix 10,ultimate,97,2020-08-14 03:13:58.378000+00:00,island_time_radio,n/a,n/a,n/a,n/a,n/a,n/a
Islander,Freedom (feat. AJ Channer of Fire From The Gods),ultimate,4,2020-08-13 03:22:12.848000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ivan L. Pierce,"No More Goodbyes, Just Goodnights",ultimate,121,2020-08-13 01:02:14.575000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ivorian Doll,Rumours,rap,430000.0,2020-08-12 19:37:45.298000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Izzie Gibbs,Join The Club,rap,1349,2020-08-12 19:44:05.522000+00:00,izziegibbs,22,"45,281",767,6.78%,"2,914.65",154.65
