soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments,Engaged Fans
Catfish and the Bottlemen,Kathleen,indie,80700,2020-08-11 02:54:40.026000+00:00,catfishandthebottlemen,,,,,,,
Cedarwood State Trax,Rave Party News Report,ultimate,56600,2020-08-13 16:43:13.973000+00:00,cedarwood_state_trax,39,562,455,4.51%,45.15,2.75,25
Change of Pace,Change of Pace - Innocent (2020 Refix - Adèlle Tribute),ultimate,1133,2020-08-16 19:06:52.896000+00:00,,,,,,,,
Chappaqua Wrestling,Football,indie,77,2020-08-11 01:28:57.391000+00:00,chappaquawrestling,,,,,,,
Char Chris,Brittle,indie,11600,2020-08-11 00:48:27.138000+00:00,char.chris,46,"2,331",210,10.16%,228.80,7.95,237
CharlieCunningham,Glass,indie,179,2020-08-11 20:12:46.809000+00:00,cunninghamcharlie,,,,,,,
Chase and Status,End Credits (feat. Plan B),rap,1260000,2020-08-12 21:04:53.195000+00:00,chaseandstatus,551,"123,888",260,1.79%,"2,174.50",46.4,2218
Che Lingo,Spaghetti,rap,8578,2020-08-12 19:43:41.138000+00:00,che_lingo,64,"23,934","1,001",6.48%,"1,456.80",95.15,1551
ChiefKeef,Faneto - Chief Keef,rap,68500000,2020-08-12 19:38:00.618000+00:00,chieffkeeffsossa,,,,,,,
Chillige Network,Todd Terry x Tobtok & Richard Judge - All Of Me (ft. Oliver Nelson),ultimate,66000,2020-08-13 23:55:13.887000+00:00,tobtokmusic,,,,,,,
Chima,Central Cee - Day In The Life,rap,432000,2020-08-12 19:34:54.839000+00:00,centralcee,,,,,,,
Chip CM,Until You Were Gone (feat. Esmee Denters),rap,761,2020-08-12 21:10:34.333000+00:00,,,,,,,,
Chloe x Halle,Do It,rap,98400,2020-08-12 19:33:07.210000+00:00,chloexhalle,192,"3,392,232",659,11.72%,"394,123.00","3,429.35",397570
Chop Daily,Chop Daily x Skondtrack ft Viralboy & Ugly Twizz - Anoda Banga,rap,1587,2020-08-11 23:19:56.599000+00:00,skondtrack,,,,,,,
Chris Distortion,LEG3NDZ - See you again ( Hardstyle remix ) short edit.,ultimate,649,2020-08-14 00:00:05.540000+00:00,chris_distortionuk,,,,,,,
Chris_Brown,Go Crazy,rap,1160000,2020-08-12 19:29:40.158000+00:00,chrisbrownofficial,"7,219","71,449,627",3,0.37%,"265,716.00",0,264364
Christian Alexander,Growing Up,indie,2112,2020-08-11 00:51:07.968000+00:00,christianalexander_97,23,"13,080",580,14.15%,"1,823.65",27.45,1851
Chronixx Music,COOL AS THE BREEZE/FRIDAY,rap,21600,2020-08-12 19:31:58.380000+00:00,chronixxmusic,,,,,,,
Chunkz,Chunkz - Greece,ultimate,160000,2020-08-13 23:55:53.249000+00:00,chunkz,,,,,,,
Cian Drinan,MK - Piece Of Me X Joel Corry - Head & Heart (Cian Drinan Mashup),ultimate,108000,2020-08-13 23:48:48.009000+00:00,djciandrinan,,,,,,,
CiaranDempsey09x,It's not right (bounce),ultimate,11800,2020-08-13 23:51:49.805000+00:00,,,,,,,,
Circa Waves,T-Shirt Weather,indie,30400,2020-08-11 17:55:48.911000+00:00,circawaves,,,,,,,
City Girls,Come Outside,rap,79300,2020-08-11 23:27:37.688000+00:00,citygirls,,,,,,,
Clairo,Pretty Girl,indie,6860000,2020-08-11 18:46:55.087000+00:00,clairo,,,,,,,
Classic Music Company,Honey Dijon feat. Hadiya George 'Not About You' - out 31/07,indie,3636,2020-08-11 00:26:05.835000+00:00,honeydijon,,,,,,,
Close Connections,The Best Of Kerwin Du Bois,ultimate,14100,2020-08-16 19:11:21.261000+00:00,kmixcc,454,"2,808","1,088",5.24%,135.48,11.68,147
Club Bad,Melé - Conga Mode (Edit),ultimate,4818,2020-08-13 16:40:54.065000+00:00,mele,,,,,,,
Club News,Cassius - Calliope,ultimate,3804,2020-08-13 16:49:15.696000+00:00,cassius,,,,,,,
Cocteau Twins,Cherry-Coloured Funk,indie,0,2020-08-11 14:18:16.062000+00:00,cocteau,,,,,,,
Cognify,Deep Sleep (Woodfire),ultimate,19400,2020-08-14 03:18:07.115000+00:00,,,,,,,,
Coi Leray,Do Better,rap,32900,2020-08-11 23:27:22.621000+00:00,coileray,,,,,,,
Colin Hennerz | EXTRAS,Everytime We Touch (Colin Hennerz remix),ultimate,14400,2020-08-13 23:59:46.119000+00:00,colinhennerz,,,,,,,
Conan Gray,Lookalike,indie,808000,2020-08-11 00:54:37.846000+00:00,conangray,,,,,,,
Connie Constance,James,indie,482,2020-08-11 01:29:58.103000+00:00,itsconniesworld,69,"26,200",771,3.20%,802.3,35.7,838
Connor♛(2),Black Mirror Society(Hardstyle),ultimate,7968,2020-08-13 23:56:25.120000+00:00,,,,,,,,
Conor Albert,Undecided (with Marie Dahlstrom),ultimate,424,2020-08-13 01:08:57.785000+00:00,conoralbert,,,,,,,
Cornershop,Sleep on the Left Side,indie,102,2020-08-11 14:24:25.537000+00:00,cornershophq,,,,,,,
Cosmo Fox,bug burden!,ultimate,56,2020-08-14 03:01:52.998000+00:00,,,,,,,,
Courteeners,Not Nineteen Forever,indie,68900,2020-08-11 13:54:30.268000+00:00,what_liam_saw,,,,,,,
Cousn,Ritual,ultimate,1268,2020-08-13 16:43:25.621000+00:00,cousn,223,"2,667",347,3.54%,87.75,6.55,94
Coyote Records,E.M.M.A - Mindmaze,indie,12600,2020-08-11 00:27:26.930000+00:00,coyoterecordsuk,,,,,,,
Crazy Cousinz,Outline (feat. Julie Bergan),ultimate,32100,2020-08-13 03:32:24.820000+00:00,crazycousinz_,474,"15,226",682,1.52%,215.55,16.15,231
Creeper,Napalm Girls,ultimate,40,2020-08-13 15:05:31.180000+00:00,creepercult,,,,,,,
Cubicolor,Wake Me Up,indie,72700,2020-08-11 00:45:24.764000+00:00,cubicolor,,,,,,,
D Power Diesle,Sniper,rap,2714,2020-08-12 19:30:27.232000+00:00,officialdpower,,,,,,,
D-Block Europe,Plain Jane,rap,144000,2020-08-12 19:32:40.262000+00:00,dblock_europe,"1,453","207,466",608,4.62%,"9,520.08",69.76,9585
,,,,,,,,,,,,
DA BEAT FREAKZ,"Self-Obsessed (feat. D-Block Europe, Deno & Krept & Konan)",rap,51000,2020-08-12 20:34:00.843000+00:00,dabeatfreakz1,,,,,,,
DC,Racing Stripes,ultimate,34,2020-08-14 03:00:29.203000+00:00,,,,,,,,
DEAR-GOD,Buck,ultimate,41,2020-08-13 03:22:25.891000+00:00,deardashgod,,,,,,,
DFTD,Darius Syrossian - Tivoli's Groove,ultimate,9083,2020-08-13 16:43:51.330000+00:00,darius_syrossian,,,,,,,
DINOSAUR PILE-UP,Back Foot,ultimate,72600,2020-08-13 03:24:05.198000+00:00,dpuofficial,,,,,,,
DIRTYBIRD,Shiba San - Okay [Preview],ultimate,1130000,2020-08-13 16:39:03.054000+00:00,dirtybirdrecords,"1,867","139,930",947,0.38%,512,14.65,532
DJ Alvin,Tocame (Alvin E Os Esquilos),ultimate,2716,2020-08-16 19:13:21.247000+00:00,,,,,,,,
DJ Aneudy (El Gigante),Antony Santos -Bachata En Vivo Mix - DJ Aneudy IG Live - Julio 2020,ultimate,9645,2020-08-14 03:13:43.844000+00:00,djaneudy,,,,,,,
DJ BIBERON (Official),"Bachata Mix ""Nuestro Amor"" - Romeo Santos, Zacarias Ferreiras, Prince Royce, Frank Reyes Y Mas!",ultimate,1711,2020-08-14 03:17:05.929000+00:00,05biberon,,,,,,,
DJ BORING,Stockholm Syndrome,indie,2304,2020-08-11 00:45:06.049000+00:00,dj.boring,327,"33,566",997,6.59%,"2,126.95",84.35,2212
DJ Bruce ✪,FREE PACK HYPE | [DJBruce&Friends]🔥💎⚡ *DescargaGratis*,ultimate,4553,2020-08-16 19:14:27.289000+00:00,deeejay.bruce,159,"5,052",507,0.81%,467.24,1.76,41
DJ Bryanflow,Mi Pan Su Su Sum,ultimate,18800,2020-08-14 03:06:31.879000+00:00,djbryanflow,,,,,,,
DJ Cheeze,Cheeze & Pitch Invader - Blinding Lights,ultimate,3449,2020-08-14 02:55:12.046000+00:00,mattcheeze,,,,,,,
DJ DEEKAY,DEEKAY OLD STYLE EDM COMMERCIAL MIX,ultimate,941,2020-08-13 23:59:55.663000+00:00,djdeekay_,,,,,,,
DJ DOXY,Layton Greene X Pnb Rock X Donell Lewis (DJ DOXY REMIX),ultimate,3033,2020-08-16 18:32:34.170000+00:00,itsdoxy,,,,,,,
DJ Daniell UK,Bad Boy Chiller Crew - 450 Ft. S Dog ( Best Audio ),ultimate,12000,2020-08-13 23:55:33.973000+00:00,dan.iell.15,,,,,,,
DJ Drewski,"Water (feat. DreamDoll, Molly Brazy & Rubi Rose)",rap,153000,2020-08-11 23:28:07.815000+00:00,sodrewski,,,,,,,
DJ EL PAISA VALLE,MEGA MIX REGGAETON 2020? BY DJ EL PAISA VALLE,ultimate,2596,2020-08-16 19:14:43.223000+00:00,,,,,,,,
DJ ENJOY Official,TSVETELINA GRAHICH & DENIS TEOFIKOV - Pak Shte Go Napravq (DJ ENJOY REMIX) 87,ultimate,12900,2020-08-14 00:03:10.619000+00:00,dj_enjoy_official,,,,,,,
DJ Heff,This is Crop Over 2020,ultimate,0,2020-08-16 19:11:35.061000+00:00,djheff,460,"2,934","7,152",1.37%,38.15,2.15,40
DJ IRONIK,Tiny Dancer (Hold Me Closer) (feat. Chipmunk and Elton John) (Radio Edit),rap,0,2020-08-12 21:05:36.887000+00:00,officialdjironik,"1,998","20,679","1,173",1.68%,298.35,49.95,347
DJ JEL,2020 CROP OVER CHARGE “2020 BAJAN SOCA MIX” | DJ JEL,ultimate,8772,2020-08-16 19:12:54.666000+00:00,jelinthemix,836,"10,828","2,389",3.62%,351.8,40.6,392
DJ Khaled,GREECE (feat. Drake),rap,1250000,2020-08-11 23:44:46.255000+00:00,djkhaled,,,,,,,
DJ Kidd Frost,"No Curfew Riddim Mix (Luni Spark & Electrify, Lavaman, Loose Cannon & More)(Soca 2020)",ultimate,408,2020-08-16 19:13:56.572000+00:00,djkiddfrost,93,"11,440",904,2.56%,287.25,6.15,293
DJ Koze,"Pick Up (12"" Extended Disco Version)",ultimate,41800,2020-08-13 16:45:11.242000+00:00,djkozeofficial,,,,,,,
DJ Ky Mixes,"DJ Ky - ""Aint Stressin Me"" (Crop Over 2020 Mix)",ultimate,334,2020-08-16 19:11:07.512000+00:00,djky_,,,,,,,
DJ LANDER ONE DESDE QUITO ECUADOR - LANDER MUSIC -,KIKE JAV FT GERARDO MORAN - QUE MAS YERNO QUERIAS REMIX LANDER MUSIC QUITO ECUADOR (0989315939),ultimate,1279,2020-08-14 03:14:13.157000+00:00,djlanderoneqe,,,,,,,
DJ Nestor,MIX UN PERREO COMO ANTES,ultimate,255,2020-08-16 19:14:50.595000+00:00,DJ Nestor,,,,,,,
DJ PP,Coyhaique,ultimate,267,2020-08-13 16:45:00.443000+00:00,,,,,,,,
DJ REUVEN REYES,Summer Hit Mix 2020 Vol.2 Latin Party With DJ REYES (Reggaeton & Funk & Cubaton),ultimate,1146,2020-08-16 19:14:36.392000+00:00,dj.reyes.official,"1,115","21,880","1,021",0.99%,154.25,62.25,217
DJ S.K.T,Take Me Away (feat. Rae) (Extended Radio Edit),ultimate,32000,2020-08-13 16:39:29.251000+00:00,djskt,"1,392","30,562","7,454",1.04%,289.40,28.4,318
DJ TICKZZY,THE BEST R&B 2020 MIX ( GALDEM FAVOURITE R&B PLAYLIST) @DJTICKZZY,ultimate,1342,2020-08-14 03:50:51.756000+00:00,djtickzzy,,,,,,,
DJ Tavo,@DJ_Tavo [2020/0731] #UrbanMixPop N°01 / Actual,ultimate,0,2020-08-16 19:14:18.401000+00:00,,,,,,,,
DJ TiLo,MIxtape Melodic ProgressiveHouse - My Style My Name vol 23 - TILO mix,ultimate,71500,2020-08-14 00:03:54.526000+00:00,dj.tilo,336,"37,530",264,2.82%,"1,048.20",9.65,1058
DJ WALTER B NICE,"Mirame Ft. Nino Segarra - Sandy Silva ""El Correcto de la Salsa""",ultimate,266,2020-08-14 03:14:26.146000+00:00,miramemusic,,,,,,,
DJ-PRYHME,Into The Beat (Vol.4),ultimate,518,2020-08-14 03:15:46.169000+00:00,djpryhme,118,"15,662","7,489",1.15%,171.88,7.72,180
DJChefUK,NB R&B Session,ultimate,678,2020-08-14 03:53:44.802000+00:00,djchefuk,,,,,,,
DJDS,Simple Things (feat. Rema & Tory Lanez),rap,15100,2020-08-11 23:17:57.931000+00:00,djds,,,,,,,
DJFreshUK,DJ Fresh ft Rita Ora - 'Hot Right Now' (Radio Edit) (Out Now),rap,555000,2020-08-12 21:07:53.874000+00:00,djfreshuk,451,"28,957",137,2.07%,550.30,48.85,599
DJMorenoAPP,Bachata En Vivo 12,ultimate,2875,2020-08-14 03:10:34.642000+00:00,djmorenoapp,"2,419","3,152","1,866",0.78%,22.65,2.05,25
DJSpecialistuk,PARTY IN THE SUN,ultimate,502,2020-08-14 03:59:56.341000+00:00,djspecialist.uk,,,,,,,
DMA'S,The Glow,indie,5471,2020-08-11 01:28:24.277000+00:00,dmasmusic,"1,144","137,004",262,4.47%,"6,051.95",72.95,6124
DNZ Records,Marc Pearson - Tremble,ultimate,1534,2020-08-14 00:01:44.110000+00:00,dnzrecords,,,,,,,
DOPE LEMON,Every Day Is A Holiday (feat. Winston Surfshirt),indie,490,2020-08-11 01:13:52.102000+00:00,dopelemonmusic,,,,,,,
DOUBLE LZ,Straight Outta Tottenham,rap,13200,2020-08-12 19:35:17.487000+00:00,doublelz_ofb,,,,,,,
DREAMERS,Heat Seeker,ultimate,21600,2020-08-13 14:58:00.720000+00:00,dreamersjoinus,"1,082","35,076",516,4.73%,"1,596.30",61.8,1659
Daft Punk,Around the World,indie,299000,2020-08-11 14:20:41.950000+00:00,daftpunk,,,,,,,
Dakota Neighbors,Lund - Broken,indie,9650000,2020-08-11 00:48:33.348000+00:00,lundbeatz,,,,,,,
Dan locks,TC - Tap Ho,ultimate,3867,2020-08-13 16:38:51.057000+00:00,tcdnb,,,,,,,
Dandan15232,Help! Oh Well... By:SomethingElseYT,ultimate,118000,2020-08-13 15:00:25.741000+00:00,somethingelsegram,,,,,,,
Daniel Johnston,True Love Will Find You In The End (1990),indie,0,2020-08-11 14:22:59.475000+00:00,danieljohnstonofficial,,,,,,,
Danileigh,Levi High (feat. DaBaby),rap,1370000,2020-08-12 20:44:24.022000+00:00,iamdanileigh,153,"2,902,526",757,6.70%,"193,027.00","1,396.85",194469
DannyD Remix,DannyD Presents - RNB Vibe Noughties Pt.2,ultimate,192,2020-08-14 04:03:40.341000+00:00,,,,,,,,
Danzo ✪,To Shreds,ultimate,1559,2020-08-13 23:58:07.840000+00:00,thedanzo,,,,,,,
Dappy,Tarzan Part 2,rap,11200,2020-08-12 21:11:54.043000+00:00,dappy100,,,,,,,
Dapz on the Map,Beautiful (feat. Pheleba),ultimate,298,2020-08-13 00:59:18.779000+00:00,dapzonthemap,,,,,,,
Darkoo,Kryptonite,rap,67500,2020-08-12 19:31:19.278000+00:00,officialdarkoo,,,,,,,
Data Transmission,Dominica - Gotta Let You Go (2015 Edit),ultimate,3150000,2020-08-13 16:39:12.994000+00:00,datatransmission,"3,051","37,455","4,718",0.25%,83.00,8.75,94
Dave,Paper Cuts,rap,114000,2020-08-12 19:36:46.086000+00:00,santandave,,,,,,,
David Cutter Music,Departures,ultimate,32400,2020-08-13 16:49:22.209000+00:00,dcuttermusic,,,,,,,
Day Sulan,BIG (feat. Rubi Rose),rap,55300,2020-08-12 20:42:58.705000+00:00,daysulan,139,"716,678",396,4.86%,"34,389.90",435.9,34831
Deap Lips,Motherfuckers Got To Go,ultimate,12,2020-08-13 15:02:17.153000+00:00,,,,,,,,
Declan Welsh,Ghosted,indie,136,2020-08-11 01:28:32.581000+00:00,declanwelsh,,,,,,,
Deejay J3❄🇦🇴🎧,Drigyy Da Gram Fast Version,rap,1013,2020-08-11 23:18:31.590000+00:00,deejay_j3,,,,,,,
Deejay Paulie,BP SOCA KADOOMENT EDITION Crop Over 2020,ultimate,973,2020-08-16 19:10:23.682000+00:00,deejaypaulie,,,,,,,
Deezer Music,Mayorkun Ft Davido - Betty Butter,rap,35500,2020-08-11 23:19:14.648000+00:00,iammayorkun,,,,,,,
Defected Records,OFFAIAH 'Play It By Ear' - Out 24/07,ultimate,12300,2020-08-13 16:40:37.057000+00:00,defectedrecords,"5,080","540,169","1,036",1.15%,"6,023.45",207.2,6212
Denney,Reflections of Time,ultimate,1625,2020-08-13 16:40:29.937000+00:00,denneymusic,930,"9,814","1,866",1.97%,180.8,12.9,193
Deno,"Circles (feat. Bandokay, Double Lz & OFB)",rap,16800,2020-08-12 19:33:18.752000+00:00,denodriz,,,,,,,
Des Rocs,Let Me Live / Let Me Die,ultimate,1303,2020-08-13 15:01:25.250000+00:00,iamdesrocs,,,,,,,
Desktop Alarm Clock,Wishing Well,ultimate,78,2020-08-14 03:02:45.346000+00:00,desktopac,30,363,888,6.09%,43.7,7.55,22
DigDat,Ei8ht Mile (feat. Aitch),rap,2210000,2020-08-12 19:37:21.666000+00:00,digdat,,,,,,,
Digga D,Woi,rap,1330000,2020-08-11 23:44:23.194000+00:00,pyr3xliving,,,,,,,
Digital Nightmares,HMLTD - LOADED (Digital Nightmares Remix),ultimate,22,2020-08-13 14:57:47.072000+00:00,digitalnightmares,,,,,,,
DijahSB,Frontin' Like Pharrell,indie,260,2020-08-11 01:34:40.619000+00:00,dijahsb,,,,,,,
Dimatik,Cinematik Sessions Volume 13 Ft Timmy Trumpet!,ultimate,7569,2020-08-14 00:03:00.734000+00:00,dimatikmusic,"1,361","27,674","1,369",2.31%,589.15,50.6,639
Diplo,"Paul Woolford, Diplo & Kareen Lomax - Looking For Me",ultimate,84500,2020-08-13 03:29:52.052000+00:00,diplo,,,,,,,
Dirty Workz,Zatox - Change The World,ultimate,2923,2020-08-14 00:03:32.040000+00:00,djzatox,,,,,,,
Disclosure,My High (Edit),indie,11000,2020-08-11 00:29:00.458000+00:00,disclosure,111,"772,634",965,1.70%,"12,905.10",221.4,13135
Discovery Team,Don Omar - Salio El Sol (Marco Fernandez Edit),ultimate,1099,2020-08-16 19:13:41.190000+00:00,discoverysoundsmusic,45,619,107,8.77%,62.3,23.15,54
Divide's WIPs,Psychosphere Wip3,ultimate,1168,2020-08-16 19:05:52.313000+00:00,,,,,,,,
Dizzee Rascal,"Dizzee Rascal - Fix Up, Look Sharp",rap,34600,2020-08-12 21:07:37.656000+00:00,dizzeerascal,,,,,,,
Dj Brayan Arbaiza,Inkausa Mix - Feliz Dia Perú ( Criollo ) Arbaiza DJ,ultimate,3111,2020-08-14 03:16:52.876000+00:00,djbrayanarbaiza,,,,,,,
Dj Danger 2,Mi Pan Su Su Sum (Version Cumbia) - DJ Danger,ultimate,1875,2020-08-14 03:16:00.596000+00:00,djdanger.ok,44,972,504,--,0,0,#VALUE!
Dj Edge,Yves Tumor- Romanticist (Dj Edge Slowed & edited ),indie,635,2020-08-11 01:13:18.675000+00:00,,,,,,,,
Dj Fearless Kevon 🇬🇩,DjFearlessKevon - Jab Lives Matter (Grenada Soca Mix 2020),ultimate,8348,2020-08-16 19:10:17.766000+00:00,djfearlesskevon,277,"7,140","2,960",3.25%,226.85,5.25,232
Dj Gabo Peña,ESTO E' UN PARTY - DJ GABO PEÑA,ultimate,52,2020-08-16 19:13:14.572000+00:00,djgabop.28,,,,,,,
Dj L-Spiz,DJ L-SPIZ X Dj TAJ - Poppin Ma Collar ( Jersey Club ),ultimate,3017,2020-08-16 19:04:48.023000+00:00,djlspiz,,,,,,,
Dj Luigi 2020,Dj Luigi - Fiesta Patria,ultimate,47900,2020-08-16 19:15:46.274000+00:00,,,,,,,,
Dj Obiglara,Lemonade (Remix) Michael Bibi ft Obig Lara,ultimate,21700,2020-08-13 16:41:18.058000+00:00,obig.lara.dj,76,"4,811","7,485",0.58%,26.9,0.95,28
Dj SWEET Salsa DAVID GUADALUPE,"Orquesta Yare "" Ponme A Gozar """,ultimate,71,2020-08-14 03:16:13.501000+00:00,,,,,,,,
DjSalvaGarcia,Galvan Real - Aventador (Dj Salva Garcia & Alex Melero 2020 Edit),ultimate,2351,2020-08-14 03:16:26.701000+00:00,djsalvagarcia,,,,,,,
DjStu-McLean,DjStu-McLean Volume 003,ultimate,3367,2020-08-13 23:57:05.615000+00:00,stuartmcleandj,,,,,,,
Django Django,Default,indie,6908,2020-08-11 02:58:39.111000+00:00,thedjangos,"1,196","15,443",614,1.88%,280.4,9.65,290
Djcra1gmcl,Promiscuous Bounce Sessions 005 Macca.WAV,ultimate,574,2020-08-14 00:01:09.775000+00:00,djcra1gmcl,,,,,,,
DnB Allstars,Alcemist & EJ Kitto - The Plan,ultimate,15100,2020-08-13 23:52:01.205000+00:00,dnballstars,"4,289","261,368",223,0.85%,"2,195.70",38.65,2222
Dodgy,Staying Out For The Summer,indie,746,2020-08-11 14:24:07.383000+00:00,dodgy.cgm,,,,,,,
Doe Boy,Split It (feat. Moneybagg Yo),rap,470000,2020-08-12 20:48:31.968000+00:00,doeboy,,,,,,,
Doktor,Boombastic (Remix),rap,162,2020-08-12 21:12:55.411000+00:00,officialdoktor,42,"13,799","1,082",7.89%,"1,028.35",59.75,1089
Dolceamare Girlgroup,Believe Cover,indie,71,2020-08-11 01:29:03.506000+00:00,dolceamareofficial,416,788,"1,366",3.34%,49.00,1.8,26
Dombresky,Dombresky - Simple Hit,ultimate,113000,2020-08-13 16:45:37.840000+00:00,dombresky,269,"61,862",404,4.60%,"2,748.20",95.2,2846
Don Toliver,After Party,rap,19800000,2020-08-12 20:37:52.243000+00:00,dontoliver,73,"1,149,610",403,18.39%,"208,538.00","2,826.90",211413
Donaeo,Lemme Know (feat. Akelle & D Double E),rap,217,2020-08-12 19:31:05.754000+00:00,donaeo,49,"88,195",528,1.42%,"1,176.30",80.15,1252
Downtown Records,Mike Snow - Animal,indie,2320000,2020-08-11 20:19:22.718000+00:00,miikesnow,,,,,,,
Doğukan ÇİMEN,Artifacts - Rezident,ultimate,17000,2020-08-13 23:44:50.448000+00:00,rezident.music,,,,,,,
Dr Banana,DRBAGAIN11 Clips,ultimate,1547,2020-08-16 19:07:07.002000+00:00,drbananana,497,"26,761",979,2.03%,529,14.55,543
Dre 九,Abra Cadabra - On Deck Remix (Prod. DreTellEm),ultimate,451,2020-08-16 19:04:43.279000+00:00,dretellem1,,,,,,,
DreamDoll,Ah Ah Ah (feat. Fivio Foreign),rap,242000,2020-08-12 20:39:04.287000+00:00,dreamdoll,396,"3,286,293",797,3.16%,"102,584.00","1,100.70",103847
Drigyy,Trust 2 Tough,rap,4823,2020-08-12 20:23:27.929000+00:00,drigyy,,,,,,,
Drill🔌,(ZONE 2) LR - THE HOTSPOT (PROD.MINKZYUK),ultimate,17000,2020-08-13 23:54:27.131000+00:00,,,,,,,,
Drop Station,Alexander - System,ultimate,1385,2020-08-16 19:03:52.538000+00:00,dropstationmusic,,,,,,,
Drugstore,El President,indie,144,2020-08-11 14:22:17.193000+00:00,,,,,,,,
Duke Dumont,Duke Dumont - Need U (100%) [feat. A*M*E],ultimate,5760000,2020-08-13 16:39:49.076000+00:00,dukedumont,232,"182,832",756,2.59%,"4,596.05",144.9,4735
Dutch Criminal Record,Feel Good,indie,1010,2020-08-11 18:33:21.220000+00:00,dutchcriminalrecord,,,,,,,
Dutchavelli,Black,rap,106000,2020-08-12 19:31:47.548000+00:00,dutchavelli,,,,,,,
Dylan Mckee 2,hardcore will never die,ultimate,2958,2020-08-16 19:06:37.177000+00:00,dylanmckeedj,,,,,,,
Dylan Sangster (2),Wish I Never Met You (hardstyle),ultimate,9345,2020-08-13 23:58:18.176000+00:00,,,,,,,,
EASY LIFE,Pop Tarts,ultimate,6676,2020-08-13 14:29:45.453000+00:00,easylife,,,,,,,
EJ and SJ,Skies,ultimate,15400,2020-08-13 23:51:01.889000+00:00,ej_and_sj_offical,,,,,,,
EK x RKB,TIMELESS,ultimate,175,2020-08-14 04:02:16.854000+00:00,,,,,,,,
ELKKA,Elkka - I.Miss.Raving.,indie,0,2020-08-11 00:30:43.493000+00:00,elkkamusic,188,"3,406",989,4.67%,144.65,14.3,159
ELVIS DECENA,HOMENAJE A CAMILO SESTO. NEW《MERENGUEDECALLE》,ultimate,22900,2020-08-14 03:06:19.704000+00:00,elvis.decena,142,"9,918",851,5.54%,543.5,6.2,549
EO,German,rap,732000,2020-08-12 20:28:53.513000+00:00,eocrossover,,,,,,,
ESTA.,dig'nU,ultimate,9311,2020-08-16 18:29:40.004000+00:00,esta,775,"62,388","1,169",3.40%,"2,082.80",39.5,2121
EVERYONE YOU KNOW,She Don't Dance,indie,15000,2020-08-11 02:55:14.414000+00:00,eykmusic,483,"20,933",495,5.61%,"1,149.30",24.55,1174
East End Dubs,East End Dubs - BRave,ultimate,83800,2020-08-13 16:47:33.095000+00:00,eastenddubs,,,,,,,
EatsEverything,Honey (Edit),ultimate,658,2020-08-13 16:43:07.162000+00:00,eatseverything,,,,,,,
Echobelly,King of the Kerb,indie,119,2020-08-11 14:22:47.289000+00:00,echobelly_official,,,,,,,
Ed Sheeran,"Ed Sheeran - You Need Me, I Don't Need You",rap,24700,2020-08-12 21:01:19.443000+00:00,teddysphotos,,,,,,,
Eden Prince,Lift Your Energy,ultimate,19400,2020-08-13 03:37:33.249000+00:00,edenprincemusic,59,"8,645",304,3.02%,231.1,30.25,261
Ego Ella May,Girls Don't Always Sing About Boys - A COLORS ENCORE,ultimate,469,2020-08-13 01:03:14.647000+00:00,egoellamay,114,"14,461",726,10.76%,"1,444.20",112.3,1556
Eight Two,Validation Song,ultimate,7772,2020-08-14 03:01:27.649000+00:00,,,,,,,,
Ela Minus,megapunk,indie,2282,2020-08-11 00:27:57.247000+00:00,elaminus,76,"16,432",197,6.18%,982.5,33.05,1015
Elastica,Connection,indie,3382,2020-08-11 14:23:42.242000+00:00,,,,,,,,
Elderbrook,My House,indie,11600,2020-08-11 01:33:51.554000+00:00,_elderbrook,,,,,,,
Electronic,Getting Away with It,indie,0,2020-08-11 14:23:54.960000+00:00,,,,,,,,
Eliphino,More Than Me,ultimate,1490000,2020-08-13 03:39:38.437000+00:00,eliphino,,,,,,,
Ella Mai,Close,indie,2480000,2020-08-11 00:44:36.936000+00:00,ellamai,,,,,,,
Ellen Allien,In Music I Trust SNIPPET,indie,2269,2020-08-11 00:44:08.914000+00:00,ellen.allien,"1,686","439,548","1,289",2.37%,"10,198.70",225.75,10417
Elliott Smith,Between The Bars,indie,0,2020-08-11 14:24:37.820000+00:00,,,,,,,,
ElvisWong95,Billie Eilish - My Future Cover,ultimate,550,2020-08-14 03:45:16.828000+00:00,,,,,,,,
Embrace,All You Good Good People,indie,0,2020-08-11 14:24:49.963000+00:00,,,,,,,,
Empire Of The Sun,Walking On A Dream,indie,1120000,2020-08-11 13:56:33.578000+00:00,empireofthesunsound,,,,,,,
En Couleur,Loco Dice - Sweet Nectar Blossom,indie,769,2020-08-11 00:46:26.349000+00:00,locodiceofc,,,,,,,
EnormousTunes,Nora En Pure - Fibonacci,ultimate,23700,2020-08-13 16:45:29.849000+00:00,enormoustunesrecords,886,"7,897",39,0.99%,75.75,2.55,78
Eric Alex Abs,One Night Only,ultimate,13,2020-08-14 03:47:59.618000+00:00,,,,,,,,
EstelleOfficial,American Boy (feat. Kanye West),rap,0,2020-08-12 21:00:24.142000+00:00,,,,,,,,
Ethan Hollan,Love Bite (demo),ultimate,238,2020-08-14 21:29:19.338000+00:00,ethan_hollan,,,,,,,
Ethanboi28,GTA 4 theme song trap remix,ultimate,43,2020-08-16 19:03:23.465000+00:00,,,,,,,,
